To_Time,High,Low,Open,Close
2020-01-02 10:00:00,298.15,295.19,296.24,297.9742
2020-01-02 10:30:00,298.41,296.595,297.975,297.54
2020-01-02 11:00:00,298.36,293.65,297.5155,298.1294
2020-01-02 11:30:00,298.75,293.65,298.13,298.13
2020-01-02 12:00:00,298.5,297.44,298.13,298.41
2020-01-02 12:30:00,298.8,298.05,298.41,298.285
2020-01-02 13:00:00,298.7536,293.65,298.29,298.7007
2020-01-02 13:30:00,298.73,298.37,298.707,298.495
2020-01-02 14:00:00,298.55,289.44,298.5,298.44
2020-01-02 14:30:00,298.78,293.65,298.44,298.69
2020-01-02 15:00:00,299.157,289.44,298.68,299.086
2020-01-02 15:30:00,299.69,293.65,299.08,299.2614
2020-01-02 16:00:00,300.6,298.45,299.25,300.58
2020-01-03 10:00:00,300.58,296.45,297.13,299.2016
2020-01-03 10:30:00,299.6,297.6,299.18,299.45
2020-01-03 11:00:00,300.35,298.24,299.45,298.64
2020-01-03 11:30:00,300.35,297.94,298.67,298.22
2020-01-03 12:00:00,299.84,298.13,298.21,299.35
2020-01-03 12:30:00,300.15,299.31,299.35,299.44
2020-01-03 13:00:00,300.58,299.37,299.4337,300.2
2020-01-03 13:30:00,300.4,299.73,300.22,299.9699
2020-01-03 14:00:00,300.17,298.77,299.97,299.41
2020-01-03 14:30:00,300.35,298.83,299.36,299.1096
2020-01-03 15:00:00,300.35,299.05,299.1,299.8225
2020-01-03 15:30:00,300.35,298.5302,299.83,298.59
2020-01-03 16:00:00,299.6112,297.35,298.55,297.38
2020-01-06 10:00:00,297.0,292.75,293.79,296.84
2020-01-06 10:30:00,297.57,296.22,296.88,297.5456
2020-01-06 11:00:00,298.239,296.56,297.5565,298.0446
2020-01-06 11:30:00,299.58,296.9727,298.03,299.211
2020-01-06 12:00:00,299.64,296.6,299.2,298.4599
2020-01-06 12:30:00,298.99,297.14,298.4445,297.879
2020-01-06 13:00:00,298.25,297.64,297.87,298.125
2020-01-06 13:30:00,298.88,297.9961,298.13,298.7557
2020-01-06 14:00:00,299.37,298.72,298.77,299.1932
2020-01-06 14:30:00,299.96,297.43,299.19,299.39
2020-01-06 15:00:00,299.45,298.98,299.4,299.38
2020-01-06 15:30:00,299.7,298.5,299.38,299.2252
2020-01-06 16:00:00,299.88,296.68,299.22,299.78
2020-01-07 10:00:00,300.9,297.75,299.94,298.81
2020-01-07 10:30:00,299.38,297.48,298.89,298.01
2020-01-07 11:00:00,299.8,297.54,297.9999,299.4008
2020-01-07 11:30:00,299.8899,299.15,299.4,299.745
2020-01-07 12:00:00,299.82,298.54,299.76,298.93
2020-01-07 12:30:00,299.33,298.65,298.95,299.11
2020-01-07 13:00:00,299.8,298.85,299.1001,299.59
2020-01-07 13:30:00,300.41,299.5705,299.58,299.86
2020-01-07 14:00:00,300.08,299.6289,299.88,300.07
2020-01-07 14:30:00,300.1,299.05,300.0745,299.2701
2020-01-07 15:00:00,299.41,257.03,299.275,299.002
2020-01-07 15:30:00,299.8,298.9,299.02,299.3344
2020-01-07 16:00:00,299.5643,297.95,299.33,298.27
2020-01-08 10:00:00,299.1,297.13,297.24,298.35
2020-01-08 10:30:00,298.76,297.95,298.38,298.4806
2020-01-08 11:00:00,298.6606,297.36,298.47,297.73
2020-01-08 11:30:00,299.49,297.5,297.74,298.88
2020-01-08 12:00:00,300.21,298.4,298.8736,300.0939
2020-01-08 12:30:00,302.45,300.0733,300.09,302.394
2020-01-08 13:00:00,303.04,298.39,302.3981,302.64
2020-01-08 13:30:00,303.11,297.17,302.645,302.93
2020-01-08 14:00:00,303.23,302.49,302.9314,302.59
2020-01-08 14:30:00,303.02,298.39,302.6,302.645
2020-01-08 15:00:00,303.09,302.53,302.64,303.07
2020-01-08 15:30:00,304.3,303.0201,303.08,304.1039
2020-01-08 16:00:00,304.44,302.2209,304.1,303.15
2020-01-09 10:00:00,308.9,303.19,307.25,308.3198
2020-01-09 10:30:00,308.63,307.42,308.29,308.34
2020-01-09 11:00:00,309.46,303.19,308.34,309.105
2020-01-09 11:30:00,310.01,303.19,309.105,309.7729
2020-01-09 12:00:00,310.43,309.15,309.77,309.92
2020-01-09 12:30:00,310.03,307.54,309.92,307.95
2020-01-09 13:00:00,307.952,298.95,307.947,307.65
2020-01-09 13:30:00,309.4,307.43,307.65,309.38
2020-01-09 14:00:00,309.85,309.04,309.3679,309.0726
2020-01-09 14:30:00,309.49,303.19,309.075,308.93
2020-01-09 15:00:00,309.49,308.75,308.95,309.0116
2020-01-09 15:30:00,309.06,298.142,309.01,309.0304
2020-01-09 16:00:00,309.72,308.55,309.01,309.71
2020-01-10 10:00:00,312.18,309.7,310.6,312.0657
2020-01-10 10:30:00,312.67,311.4612,311.97,312.37
2020-01-10 11:00:00,312.55,309.63,312.3707,312.0498
2020-01-10 11:30:00,312.381,309.63,312.04,310.96
2020-01-10 12:00:00,312.0,310.44,310.9998,311.0995
2020-01-10 12:30:00,311.12,308.25,311.11,309.95
2020-01-10 13:00:00,310.37,309.4433,309.96,309.7633
2020-01-10 13:30:00,310.963,309.63,309.77,310.64
2020-01-10 14:00:00,310.8,310.08,310.6521,310.7
2020-01-10 14:30:00,310.95,309.63,310.7,309.9399
2020-01-10 15:00:00,310.21,281.771,309.94,310.0652
2020-01-10 15:30:00,310.3,281.7954,310.06,310.1319
2020-01-10 16:00:00,310.42,299.326,310.14,310.3701
2020-01-13 10:00:00,313.38,310.85,311.69,312.9395
2020-01-13 10:30:00,313.03,311.74,312.94,311.8927
2020-01-13 11:00:00,312.17,311.15,311.92,312.083
2020-01-13 11:30:00,312.39,310.33,312.1,312.22
2020-01-13 12:00:00,313.39,311.7164,312.21,312.79
2020-01-13 12:30:00,312.97,298.65,312.78,312.6
2020-01-13 13:00:00,313.32,310.33,312.6,313.1294
2020-01-13 13:30:00,313.75,310.33,313.13,313.6
2020-01-13 14:00:00,313.79,313.3973,313.61,313.61
2020-01-13 14:30:00,314.75,310.33,313.5625,314.64
2020-01-13 15:00:00,314.98,313.09,314.63,314.93
2020-01-13 15:30:00,315.26,310.33,314.925,315.16
2020-01-13 16:00:00,317.07,315.1,315.15,316.96
2020-01-14 10:00:00,317.25,313.34,316.7,313.7825
2020-01-14 10:30:00,316.85,313.46,313.79,316.605
2020-01-14 11:00:00,317.57,314.76,316.6199,315.7533
2020-01-14 11:30:00,316.96,315.0,315.76,315.36
2020-01-14 12:00:00,316.6,314.6,315.36,316.52
2020-01-14 12:30:00,316.68,312.09,316.53,315.2204
2020-01-14 13:00:00,316.96,314.6,315.215,314.7427
2020-01-14 13:30:00,315.6,314.7145,314.73,315.5198
2020-01-14 14:00:00,316.96,312.75,315.52,313.38
2020-01-14 14:30:00,316.96,312.17,313.385,314.175
2020-01-14 15:00:00,314.7854,313.3,314.1698,313.5038
2020-01-14 15:30:00,316.96,312.85,313.5054,312.9436
2020-01-14 16:00:00,314.21,311.75,312.93,312.69
2020-01-15 10:00:00,315.43,311.46,311.84,315.35
2020-01-15 10:30:00,315.5,314.01,315.357,314.252
2020-01-15 11:00:00,314.67,312.68,314.24,314.5
2020-01-15 11:30:00,314.68,312.68,314.49,313.6046
2020-01-15 12:00:00,314.58,313.369,313.59,313.92
2020-01-15 12:30:00,314.6,313.76,313.92,314.34
2020-01-15 13:00:00,314.52,313.69,314.35,313.9
2020-01-15 13:30:00,314.49,313.55,313.9,313.9559
2020-01-15 14:00:00,314.21,312.16,313.9578,312.6765
2020-01-15 14:30:00,313.48,312.4841,312.65,313.3222
2020-01-15 15:00:00,313.83,312.9,313.33,312.96
2020-01-15 15:30:00,314.1454,310.91,312.98,311.24
2020-01-15 16:00:00,311.54,309.55,311.25,311.5
2020-01-16 10:00:00,315.27,313.51,313.62,314.569
2020-01-16 10:30:00,315.7,311.34,314.55,314.6999
2020-01-16 11:00:00,314.73,311.34,314.66,312.8
2020-01-16 11:30:00,313.82,311.34,312.86,313.1
2020-01-16 12:00:00,313.83,312.68,313.1,313.29
2020-01-16 12:30:00,313.47,312.45,313.31,312.659
2020-01-16 13:00:00,313.4389,311.34,312.6528,312.8638
2020-01-16 13:30:00,313.18,311.34,312.86,312.985
2020-01-16 14:00:00,313.88,312.85,312.99,313.7163
2020-01-16 14:30:00,314.1,309.7803,313.71,313.95
2020-01-16 15:00:00,314.3237,313.8,313.9477,313.8565
2020-01-16 15:30:00,314.53,284.0,313.8436,314.11
2020-01-16 16:00:00,315.37,314.08,314.09,315.33
2020-01-17 10:00:00,317.06,315.56,316.21,316.935
2020-01-17 10:30:00,317.25,315.91,316.94,316.64
2020-01-17 11:00:00,316.8,309.7803,316.64,316.3
2020-01-17 11:30:00,316.4,315.0,316.3,315.91
2020-01-17 12:00:00,316.5,315.7,315.915,316.34
2020-01-17 12:30:00,316.93,316.26,316.365,316.42
2020-01-17 13:00:00,316.78,315.75,316.42,315.814
2020-01-17 13:30:00,316.485,315.38,315.82,316.3756
2020-01-17 14:00:00,316.83,316.22,316.39,316.77
2020-01-17 14:30:00,317.0,315.24,316.77,316.806
2020-01-17 15:00:00,317.07,316.42,316.81,317.0627
2020-01-17 15:30:00,317.3,316.5108,317.07,317.2301
2020-01-17 16:00:00,318.7449,317.18,317.23,318.67
2020-01-21 10:00:00,318.86,316.65,317.1,318.21
2020-01-21 10:30:00,319.03,317.09,318.23,317.7595
2020-01-21 11:00:00,318.73,317.32,317.7699,317.38
2020-01-21 11:30:00,318.73,317.27,317.38,318.5358
2020-01-21 12:00:00,319.0,318.31,318.55,318.46
2020-01-21 12:30:00,318.5032,314.08,318.468,318.214
2020-01-21 13:00:00,318.73,310.873,318.23,317.96
2020-01-21 13:30:00,318.21,317.2,317.97,317.63
2020-01-21 14:00:00,317.7662,316.34,317.64,316.56
2020-01-21 14:30:00,318.73,316.33,316.5662,316.5898
2020-01-21 15:00:00,317.0,316.25,316.59,316.8942
2020-01-21 15:30:00,317.23,316.62,316.9,316.83
2020-01-21 16:00:00,318.73,316.0,316.83,316.59
2020-01-22 10:00:00,318.94,317.31,318.62,318.0819
2020-01-22 10:30:00,318.89,317.52,318.09,318.6991
2020-01-22 11:00:00,318.9,316.57,318.722,317.8959
2020-01-22 11:30:00,318.23,316.57,317.89,318.098
2020-01-22 12:00:00,318.685,318.0075,318.0902,318.52
2020-01-22 12:30:00,318.75,318.1,318.52,318.54
2020-01-22 13:00:00,319.75,318.46,318.54,319.6406
2020-01-22 13:30:00,319.66,316.57,319.64,319.39
2020-01-22 14:00:00,319.9,319.05,319.39,319.0812
2020-01-22 14:30:00,319.72,308.31,319.09,319.32
2020-01-22 15:00:00,319.99,319.0,319.3124,319.88
2020-01-22 15:30:00,319.91,316.57,319.8816,318.35
2020-01-22 16:00:00,318.98,317.57,318.357,317.7
2020-01-23 10:00:00,318.49,315.65,317.86,317.1001
2020-01-23 10:30:00,318.065,316.28,317.1,317.625
2020-01-23 11:00:00,318.12,316.63,317.6358,317.33
2020-01-23 11:30:00,317.75,316.9,317.35,317.0175
2020-01-23 12:00:00,317.91,316.96,316.99,317.505
2020-01-23 12:30:00,317.97,317.27,317.5,317.8865
2020-01-23 13:00:00,318.2,317.69,317.9,317.715
2020-01-23 13:30:00,318.42,317.4,317.7,318.06
2020-01-23 14:00:00,318.9,318.05,318.08,318.74
2020-01-23 14:30:00,319.07,317.7,318.75,318.88
2020-01-23 15:00:00,319.25,316.65,318.89,319.2197
2020-01-23 15:30:00,319.5,317.7,319.2207,319.1705
2020-01-23 16:00:00,319.56,318.8,319.17,319.2899
2020-01-24 10:00:00,322.63,319.23,320.18,322.6027
2020-01-24 10:30:00,322.63,321.0,322.62,321.1
2020-01-24 11:00:00,322.3,319.23,321.094,322.25
2020-01-24 11:30:00,323.33,319.23,322.27,322.41
2020-01-24 12:00:00,322.66,319.23,322.39,321.97
2020-01-24 12:30:00,322.0,319.31,321.95,320.08
2020-01-24 13:00:00,321.398,319.23,320.12,321.13
2020-01-24 13:30:00,321.15,319.23,321.115,320.1893
2020-01-24 14:00:00,320.4795,319.05,320.17,319.9
2020-01-24 14:30:00,320.14,317.88,319.8852,318.8
2020-01-24 15:00:00,320.26,284.0,318.7709,320.16
2020-01-24 15:30:00,320.38,319.63,320.16,319.66
2020-01-24 16:00:00,319.7,317.5188,319.63,318.33
2020-01-27 10:00:00,311.77,305.89,310.06,311.43
2020-01-27 10:30:00,313.3333,309.665,311.5,311.15
2020-01-27 11:00:00,318.31,308.85,310.5235,309.41
2020-01-27 11:30:00,318.31,307.51,309.3116,308.3
2020-01-27 12:00:00,319.86,307.86,308.2632,309.38
2020-01-27 12:30:00,311.09,308.79,309.2466,310.7
2020-01-27 13:00:00,311.6,309.0,310.7598,311.18
2020-01-27 13:30:00,311.6,309.1,311.18,311.15
2020-01-27 14:00:00,311.3,310.1,311.1326,310.2782
2020-01-27 14:30:00,318.31,309.3823,310.4514,310.96
2020-01-27 15:00:00,311.2,308.92,310.8726,309.516
2020-01-27 15:30:00,309.84,307.519,309.49,309.2
